127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:25 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:26 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/ball.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/forward.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/target_big.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo_small.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12720
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/sugg.png HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12785
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12785
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 12785
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/query?q=ljubljana&c=kmeans&n=200 HTTP/1.1" 200 13082
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/result.jsp?q=ljubljana&c=kmeans HTTP/1.1" 200 3771
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/searchpoint.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/kinetic-v3.8.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/css/tooltip.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/sp.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/js/tagcloud.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Oct/2014:14:37:27 +0200] "GET /SearchPointSrv/images/logo.jpg HTTP/1.1" 304 -
